Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2024 Q3,Středočeský kraj 2024 Q3,Jihočeský kraj 2024 Q3,Plzeňský kraj 2024 Q3,Karlovarský kraj 2024 Q3,Ústecký kraj 2024 Q3,Liberecký kraj 2024 Q3,Královéhradecký kraj 2024 Q3,Pardubický kraj 2024 Q3,Kraj Vysočina 2024 Q3,Jihomoravský kraj 2024 Q3,Olomoucký kraj 2024 Q3,Moravskoslezský kraj 2024 Q3,Zlínský kraj 2024 Q3,Středočeský kraj 2019 Q1,Jihočeský kraj 2019 Q1,Plzeňský kraj 2019 Q1,Karlovarský kraj 2019 Q1,Ústecký kraj 2019 Q1,Liberecký kraj 2019 Q1,Královéhradecký kraj 2019 Q1,Pardubický kraj 2019 Q1,Kraj Vysočina 2019 Q1,Jihomoravský kraj 2019 Q1,Olomoucký kraj 2019 Q1,Moravskoslezský kraj 2019 Q1,Zlínský kraj 2019 Q1,Středočeský kraj 2016 Q4,Jihočeský kraj 2016 Q4,Plzeňský kraj 2016 Q4,Karlovarský kraj 2016 Q4,Ústecký kraj 2016 Q4,Liberecký kraj 2016 Q4,Královéhradecký kraj 2016 Q4,Pardubický kraj 2016 Q4,Kraj Vysočina 2016 Q4,Jihomoravský kraj 2016 Q4,Olomoucký kraj 2016 Q4,Moravskoslezský kraj 2016 Q4,Zlínský kraj 2016 Q4,Středočeský kraj 2017 Q1,Jihočeský kraj 2017 Q1,Plzeňský kraj 2017 Q1,Karlovarský kraj 2017 Q1,Ústecký kraj 2017 Q1,Liberecký kraj 2017 Q1,Královéhradecký kraj 2017 Q1,Pardubický kraj 2017 Q1,Kraj Vysočina 2017 Q1,Jihomoravský kraj 2017 Q1,Olomoucký kraj 2017 Q1,Moravskoslezský kraj 2017 Q1,Zlínský kraj 2017 Q1,Středočeský kraj 2024 Q2,Jihočeský kraj 2024 Q2,Plzeňský kraj 2024 Q2,Karlovarský kraj 2024 Q2,Ústecký kraj 2024 Q2,Liberecký kraj 2024 Q2,Královéhradecký kraj 2024 Q2,Pardubický kraj 2024 Q2,Kraj Vysočina 2024 Q2,Jihomoravský kraj 2024 Q2,Olomoucký kraj 2024 Q2,Moravskoslezský kraj 2024 Q2,Zlínský kraj 2024 Q2,Středočeský kraj 2018 Q4,Jihočeský kraj 2018 Q4,Plzeňský kraj 2018 Q4,Karlovarský kraj 2018 Q4,Ústecký kraj 2018 Q4,Liberecký kraj 2018 Q4,Královéhradecký kraj 2018 Q4,Pardubický kraj 2018 Q4,Kraj Vysočina 2018 Q4,Jihomoravský kraj 2018 Q4,Olomoucký kraj 2018 Q4,Moravskoslezský kraj 2018 Q4,Zlínský kraj 2018 Q4,Středočeský kraj 2018 Q3,Jihočeský kraj 2018 Q3,Plzeňský kraj 2018 Q3,Karlovarský kraj 2018 Q3,Ústecký kraj 2018 Q3,Liberecký kraj 2018 Q3,Královéhradecký kraj 2018 Q3,Pardubický kraj 2018 Q3,Kraj Vysočina 2018 Q3,Jihomoravský kraj 2018 Q3,Olomoucký kraj 2018 Q3,Moravskoslezský kraj 2018 Q3,Zlínský kraj 2018 Q3,Středočeský kraj 2018 Q2,Jihočeský kraj 2018 Q2,Plzeňský kraj 2018 Q2,Karlovarský kraj 2018 Q2,Ústecký kraj 2018 Q2,Liberecký kraj 2018 Q2,Královéhradecký kraj 2018 Q2,Pardubický kraj 2018 Q2,Kraj Vysočina 2018 Q2,Jihomoravský kraj 2018 Q2,Olomoucký kraj 2018 Q2,Moravskoslezský kraj 2018 Q2,Zlínský kraj 2018 Q2,Středočeský kraj 2017 Q4,Jihočeský kraj 2017 Q4,Plzeňský kraj 2017 Q4,Karlovarský kraj 2017 Q4,Ústecký kraj 2017 Q4,Liberecký kraj 2017 Q4,Královéhradecký kraj 2017 Q4,Pardubický kraj 2017 Q4,Kraj Vysočina 2017 Q4,Jihomoravský kraj 2017 Q4,Olomoucký kraj 2017 Q4,Moravskoslezský kraj 2017 Q4,Zlínský kraj 2017 Q4,Středočeský kraj 2018 Q1,Jihočeský kraj 2018 Q1,Plzeňský kraj 2018 Q1,Karlovarský kraj 2018 Q1,Ústecký kraj 2018 Q1,Liberecký kraj 2018 Q1,Královéhradecký kraj 2018 Q1,Pardubický kraj 2018 Q1,Kraj Vysočina 2018 Q1,Jihomoravský kraj 2018 Q1,Olomoucký kraj 2018 Q1,Moravskoslezský kraj 2018 Q1,Zlínský kraj 2018 Q1,Středočeský kraj 2020 Q1,Jihočeský kraj 2020 Q1,Plzeňský kraj 2020 Q1,Karlovarský kraj 2020 Q1,Ústecký kraj 2020 Q1,Liberecký kraj 2020 Q1,Královéhradecký kraj 2020 Q1,Pardubický kraj 2020 Q1,Kraj Vysočina 2020 Q1,Jihomoravský kraj 2020 Q1,Olomoucký kraj 2020 Q1,Moravskoslezský kraj 2020 Q1,Zlínský kraj 2020 Q1,Středočeský kraj 2017 Q2,Jihočeský kraj 2017 Q2,Plzeňský kraj 2017 Q2,Karlovarský kraj 2017 Q2,Ústecký kraj 2017 Q2,Liberecký kraj 2017 Q2,Královéhradecký kraj 2017 Q2,Pardubický kraj 2017 Q2,Kraj Vysočina 2017 Q2,Jihomoravský kraj 2017 Q2,Olomoucký kraj 2017 Q2,Moravskoslezský kraj 2017 Q2,Zlínský kraj 2017 Q2,Středočeský kraj 2019 Q3,Jihočeský kraj 2019 Q3,Plzeňský kraj 2019 Q3,Karlovarský kraj 2019 Q3,Ústecký kraj 2019 Q3,Liberecký kraj 2019 Q3,Královéhradecký kraj 2019 Q3,Pardubický kraj 2019 Q3,Kraj Vysočina 2019 Q3,Jihomoravský kraj 2019 Q3,Olomoucký kraj 2019 Q3,Moravskoslezský kraj 2019 Q3,Zlínský kraj 2019 Q3,Středočeský kraj 2024 Q1,Jihočeský kraj 2024 Q1,Plzeňský kraj 2024 Q1,Karlovarský kraj 2024 Q1,Ústecký kraj 2024 Q1,Liberecký kraj 2024 Q1,Královéhradecký kraj 2024 Q1,Pardubický kraj 2024 Q1,Kraj Vysočina 2024 Q1,Jihomoravský kraj 2024 Q1,Olomoucký kraj 2024 Q1,Moravskoslezský kraj 2024 Q1,Zlínský kraj 2024 Q1,Středočeský kraj 2019 Q2,Jihočeský kraj 2019 Q2,Plzeňský kraj 2019 Q2,Karlovarský kraj 2019 Q2,Ústecký kraj 2019 Q2,Liberecký kraj 2019 Q2,Královéhradecký kraj 2019 Q2,Pardubický kraj 2019 Q2,Kraj Vysočina 2019 Q2,Jihomoravský kraj 2019 Q2,Olomoucký kraj 2019 Q2,Moravskoslezský kraj 2019 Q2,Zlínský kraj 2019 Q2,Středočeský kraj 2017 Q3,Jihočeský kraj 2017 Q3,Plzeňský kraj 2017 Q3,Karlovarský kraj 2017 Q3,Ústecký kraj 2017 Q3,Liberecký kraj 2017 Q3,Královéhradecký kraj 2017 Q3,Pardubický kraj 2017 Q3,Kraj Vysočina 2017 Q3,Jihomoravský kraj 2017 Q3,Olomoucký kraj 2017 Q3,Moravskoslezský kraj 2017 Q3,Zlínský kraj 2017 Q3,Součet
Nový Zéland,554,NZ,NZL,22,5,0,0,0,1,1,1,1,0,5,1,1,2,4,0,0,0,2,3,1,1,0,3,0,1,1,3,0,0,0,2,3,1,0,0,2,0,1,1,3,0,0,0,2,3,1,1,0,2,0,1,1,5,0,0,0,1,1,1,1,0,5,1,1,2,4,0,0,0,2,3,1,2,0,3,0,1,1,4,0,0,0,2,3,1,1,0,3,0,1,1,4,0,0,0,2,3,1,1,0,2,0,1,1,3,0,0,0,2,3,1,1,0,2,0,1,1,4,0,0,0,2,3,1,1,0,2,0,1,1,4,0,0,0,1,1,1,1,0,3,0,1,1,3,0,0,0,2,3,1,1,0,2,0,1,1,4,0,0,0,1,1,1,1,0,3,0,1,1,5,0,0,0,1,1,1,1,0,5,1,1,2,4,0,0,0,2,2,1,1,0,3,0,1,1,3,0,0,0,1,3,1,1,0,2,0,1,1,242
Nizozemské království,528,NL,NLD,175,42,23,15,4,22,19,24,14,10,24,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
Kolumbie,170,CO,COL,43,5,0,2,0,3,2,1,1,0,3,3,3,3,2,0,1,0,0,0,1,1,0,1,1,2,1,4,0,1,0,0,0,2,2,0,2,1,2,0,3,0,1,0,0,0,2,2,0,2,1,2,0,5,0,2,0,2,1,1,1,0,3,2,3,3,2,0,1,0,0,0,1,1,0,2,1,2,0,2,0,1,0,0,0,1,1,0,2,1,2,0,2,0,1,0,0,0,2,1,0,2,1,2,0,2,0,1,0,0,0,2,1,0,3,1,2,0,2,0,1,0,0,0,2,1,0,2,1,2,0,3,0,1,0,0,0,1,1,0,1,1,1,1,3,0,1,0,0,0,2,2,0,3,1,2,0,3,0,1,0,0,0,1,1,0,1,1,1,1,5,0,2,0,2,1,1,1,0,3,3,3,1,2,0,1,0,0,0,1,1,0,1,1,1,1,3,0,1,0,0,0,2,2,0,3,1,2,0,219
Norsko,578,NO,NOR,22,2,1,0,0,3,1,1,2,1,5,0,1,2,5,1,0,0,3,2,0,0,0,0,0,0,1,3,2,0,0,1,2,0,0,0,0,0,0,1,3,2,0,0,1,2,0,0,0,0,0,0,1,2,1,0,0,3,1,1,1,1,5,0,1,2,5,1,0,0,3,2,0,0,0,0,0,0,1,5,1,0,0,3,2,0,0,0,0,0,0,1,5,1,0,0,2,2,0,0,0,0,0,0,1,3,1,0,0,1,2,0,0,0,0,0,0,1,5,1,0,0,1,2,0,0,0,0,0,0,1,3,1,0,0,3,2,0,0,0,2,0,1,1,3,1,0,0,1,2,0,0,0,0,0,0,1,5,1,0,0,3,2,0,0,0,1,0,1,1,2,1,0,0,3,1,1,0,1,5,0,1,2,5,1,0,0,3,2,0,0,0,0,0,0,1,3,1,0,0,1,2,0,0,0,0,0,0,1,192
Argentina,032,AR,ARG,31,8,1,0,0,2,0,2,2,0,8,1,2,0,2,0,0,0,1,0,0,1,0,3,1,1,0,1,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,1,0,1,1,1,0,8,1,0,0,2,0,2,2,0,8,1,2,0,2,0,0,0,1,0,0,1,0,3,1,1,0,2,0,0,0,1,0,0,1,0,2,1,1,0,2,0,0,0,2,0,0,1,0,2,1,1,0,1,0,0,0,2,0,0,1,0,2,1,1,0,2,0,0,0,2,0,0,1,0,2,1,1,0,2,1,0,0,1,0,1,1,0,4,1,0,0,1,0,0,0,2,0,0,1,0,2,1,1,0,2,0,0,0,1,0,1,1,0,3,1,0,0,7,1,0,0,2,0,2,2,0,8,1,1,0,2,0,0,0,1,0,1,1,0,3,1,1,0,1,0,0,0,2,0,0,1,0,2,1,1,0,187
Chile,152,CL,CHL,42,8,0,2,0,1,0,0,1,1,3,1,0,2,1,1,1,0,1,0,0,1,0,2,1,0,1,1,0,1,0,1,0,0,1,0,1,2,0,1,2,0,1,0,1,0,0,1,0,1,2,0,1,7,0,2,0,1,0,1,1,1,3,1,0,2,1,1,1,0,1,0,0,1,0,2,1,0,1,1,1,1,0,1,0,0,1,0,2,2,0,1,1,1,1,0,1,0,0,1,0,2,2,0,1,1,1,1,0,1,0,0,1,0,1,2,0,1,1,1,1,0,1,0,0,1,0,1,2,0,1,3,1,1,0,1,0,0,2,0,3,1,0,1,1,0,1,0,1,0,0,0,0,1,2,0,1,2,1,1,0,1,0,0,2,0,2,1,0,1,7,0,2,0,1,0,1,1,1,3,1,0,2,2,1,1,0,1,0,0,1,0,2,1,0,1,1,1,1,0,1,0,0,0,0,1,2,0,1,179
Estonsko,233,EE,EST,36,6,0,0,2,2,1,1,1,0,4,0,0,0,3,0,0,0,2,0,1,0,0,2,0,1,1,3,0,0,1,2,0,1,0,0,2,0,0,0,3,0,0,0,2,0,1,0,0,2,0,1,0,6,0,0,2,2,1,1,1,0,4,0,0,0,3,0,0,0,2,0,1,0,0,2,0,1,1,3,0,0,0,2,0,1,0,0,2,0,1,1,3,0,0,0,2,0,1,0,0,2,0,1,1,3,0,0,0,2,0,1,0,0,2,0,1,1,3,0,0,0,2,0,1,0,0,2,0,1,1,3,0,0,0,2,0,1,0,0,3,0,1,1,3,0,0,0,2,0,1,0,0,2,0,1,0,3,0,0,0,2,0,1,0,0,2,0,1,1,6,0,0,2,2,1,1,1,0,4,0,0,0,3,0,0,0,2,0,1,0,0,2,0,1,1,3,0,0,0,2,0,1,0,0,2,0,1,0,178
Ekvádor,218,EC,ECU,10,5,0,1,0,0,0,0,1,0,3,1,1,1,4,0,0,0,0,0,1,0,0,2,1,1,0,3,0,1,0,0,0,1,0,0,1,1,1,0,3,0,1,0,0,0,1,0,0,1,1,1,0,6,0,1,0,0,0,0,1,0,5,1,1,1,4,0,1,0,0,0,1,0,0,1,1,1,0,4,0,1,0,0,0,1,0,0,1,1,1,0,4,0,1,0,0,0,1,0,0,1,1,1,0,3,0,1,0,0,0,1,0,0,1,1,1,0,3,0,1,0,0,0,1,0,0,1,1,1,0,4,0,0,0,0,0,1,0,0,3,1,1,0,3,0,1,0,0,0,1,0,0,1,1,1,0,4,0,0,0,0,0,1,0,0,3,1,1,0,6,0,1,0,0,0,0,1,0,5,1,1,1,4,0,0,0,0,0,1,0,0,2,1,1,0,3,0,1,0,0,0,1,0,0,1,1,1,0,158
Libye,434,LY,LBY,9,2,0,0,0,0,1,0,0,0,6,0,2,0,1,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,0,2,0,0,0,0,1,0,0,0,5,0,2,0,1,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,1,0,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,0,2,0,0,0,0,1,0,0,0,5,0,2,0,1,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,0,136
Nepál,524,NP,NPL,7,3,0,5,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,4,0,3,0,1,0,0,3,0,0,0,1,0,4,0,3,0,1,0,0,2,0,0,0,3,0,6,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,2,0,0,0,0,1,0,0,0,1,0,3,0,3,0,1,0,0,2,0,0,0,1,0,3,0,3,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,3,0,1,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,3,0,1,0,0,2,0,0,0,131
Bangladéš,050,BD,BGD,29,3,0,1,2,0,0,0,0,0,11,0,3,0,1,0,1,1,1,0,0,0,0,0,0,3,0,1,0,1,1,0,0,3,0,0,0,0,2,0,1,0,1,1,0,0,3,0,0,0,0,3,0,3,0,1,3,0,0,0,0,0,2,0,3,0,1,0,1,1,1,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,3,0,3,0,1,3,0,0,0,0,0,2,0,3,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,3,0,130
Keňa,404,KE,KEN,5,4,0,1,1,2,0,0,0,0,1,0,1,1,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,2,0,4,0,1,1,2,0,0,0,0,1,0,1,1,1,0,0,0,2,1,0,0,0,1,0,2,0,1,0,0,0,2,1,0,0,0,1,0,2,0,1,0,0,0,2,1,0,0,0,1,0,2,0,1,0,0,0,2,1,1,0,0,1,0,2,0,1,0,0,0,2,1,1,0,0,1,0,2,0,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,2,1,1,0,0,1,0,2,0,1,0,0,0,2,1,0,0,0,1,0,2,0,4,0,1,1,2,0,0,0,0,1,0,1,1,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,2,1,1,0,0,1,0,2,0,122
Venezuela,862,VE,VEN,28,1,0,0,0,0,0,2,0,0,8,0,1,1,1,0,0,0,0,0,1,0,0,4,0,1,0,2,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,6,0,1,1,1,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,5,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,4,0,1,0,1,0,0,0,0,0,2,0,0,5,0,1,1,1,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,117
Benin,204,BJ,BEN,14,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,1,1,1,1,0,0,0,4,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,1,1,0,0,0,4,1,0,0,0,0,1,0,1,1,0,0,0,4,1,0,0,0,0,1,0,1,1,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,1,0,1,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,1,0,1,101
Demokratická republika Kongo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,1,1,0,3,0,0,0,2,0,1,0,0,0,1,1,0,3,0,0,0,2,0,1,0,0,0,1,1,0,2,0,0,0,2,0,1,0,0,0,0,1,0,3,0,0,0,2,0,1,0,0,0,0,1,0,4,0,0,0,2,0,1,1,0,1,1,1,0,2,0,0,0,2,0,1,0,0,0,0,1,0,4,0,0,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,1,1,1,0,2,0,0,0,2,0,1,0,0,0,0,1,0,100
Palestina,275,PS,PSE,7,3,0,0,0,1,1,0,0,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,99
Konžská republika,178,CG,COG,11,1,1,1,0,2,0,0,0,1,0,1,0,0,2,0,1,0,2,1,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,2,1,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,2,0,1,0,2,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,94
Senegal,686,SN,SEN,16,4,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,93
Malta,470,MT,MLT,22,2,1,0,0,0,0,1,0,0,0,2,1,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,91
Kamerun,120,CM,CMR,20,2,1,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,2,1,0,0,1,2,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,3,1,1,0,1,2,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,91
Šrí Lanka,144,LK,LKA,16,3,0,1,0,0,0,0,0,2,1,0,1,5,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,2,1,0,0,5,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,5,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,90
Guinea,324,GN,GIN,18,6,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,82
Kypr,196,CY,CYP,29,3,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,76
