Občanství,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2020 Q1,2024 Q1,2024 Q2,2024 Q3
Východní Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis a Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z toho cizinci,85628,86396,86975,87073,87228,87977,88814,89175,89843,90954,92013,92860,94879,118765,124502,127143
Zambie,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5
Zimbabwe,3,3,3,4,4,4,4,3,3,2,2,2,3,11,11,13
Západní Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ázerbájdžán,64,73,78,78,78,82,78,74,78,82,83,85,91,172,191,193
Írán,28,28,28,27,27,27,29,30,34,36,37,36,36,70,73,71
Čad,80,79,80,81,80,82,84,81,82,85,85,86,87,119,120,125
Černá Hora,29,29,28,28,28,28,27,29,30,32,32,32,32,37,38,39
Česko,1910709,1912508,1916065,1921817,1922699,1926393,1930027,1936350,1938653,1943284,1948734,1955732,1962123,1789125,1781538,1791017
Čína,250,250,253,253,251,255,263,261,264,267,277,279,285,327,340,344
Řecko,187,196,203,207,214,219,219,223,227,229,231,240,256,291,293,298
Šalamounovy ostrovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šalomounovy ostrovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Španělsko,288,310,329,334,341,354,367,375,380,391,410,427,456,594,604,612
Špicberky a Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šrí Lanka,13,13,13,13,14,14,14,15,15,15,15,16,16,27,29,29
Švédsko,98,96,98,101,103,124,129,131,137,141,159,170,175,243,242,245
Švýcarsko,64,63,64,65,68,68,71,73,74,73,71,73,77,86,89,88
